Filename,Asfc1om,Rsquared,LineStart,OrdersOfMagnitude, RelA (scale: 10), StdDev (scale: 10), Scale (10),Units,epLsar1.80?m,veLsar1.80?m,epPdnr1.80?m
Pconcolor_FLMNH29819_1D_c.sur,4.612148,0.998254,0.152973,1,1.020522076,14.11832118,2.056637596,?m,0.002782,0.660875,35.639364
Pconcolor_FLMNH29819_1D_d.sur,2.234131,0.999393,0.266464,1,1.008758675,10.67632476,2.015134187,?m,0.004272,0.666122,155.891559
Pconcolor_FLMNH30935_1_a.sur,3.049344,0.998845,0.149914,1,1.006348233,10.80124965,2.015505059,?m,0.001615,0.552284,143.697173
Pconcolor_FLMNH30935_1_b.sur,1.944356,0.998524,0.149896,1,1.005441878,10.68787874,2.015272726,?m,0.000829,0.357521,62.084581
Pconcolor_FLMNH30935_1_c.sur,2.816579,0.998251,0.149881,1,1.012432712,11.64347593,2.015060478,?m,0.001832,0.658078,99.238866
Pconcolor_FLMNH30935_1_d.sur,1.681399,0.998197,0.149908,1,1.00491695,10.70787541,2.015425419,?m,0.002251,0.508771,96.681546
Pconcolor_FLMNH30935_1D_a.sur,2.586585,0.99963,0.268064,1,1.00532404,10.66928605,2.027235844,?m,0.001263,0.296856,165.50094
Pconcolor_FLMNH30935_1D_b.sur,2.185807,0.999364,0.267876,1,1.005765593,10.81350977,2.025812588,?m,0.001611,0.389707,140.973161
Pconcolor_FLMNH30935_1D_c.sur,1.746333,0.998999,0.417638,1,1.006859745,10.7121189,2.021368833,?m,0.003771,0.650119,143.474375
Pconcolor_FLMNH30935_1D_d.sur,1.870441,0.999694,0.267659,1,1.006209836,10.68479904,2.024170178,?m,0.003312,0.638984,140.106394
Pconcolor_FLMNH30960_1_a.sur,6.533621,0.991261,16.028135,1,1.030611011,25.55974607,2.018110678,?m,0.005278,0.698407,173.412212
Pconcolor_FLMNH30960_1_b.sur,6.060044,0.993062,22.817225,1,1.032312686,21.34165261,2.016715977,?m,0.005248,0.697653,169.98724
Pconcolor_FLMNH30960_1_c.sur,2.147284,0.999255,0.266969,1,1.00678192,20.18829548,2.018956426,?m,0.003829,0.638735,164.495425
Pconcolor_FLMNH30960_1_d.sur,2.978913,0.996562,2.819538,1,1.012929432,20.33268721,2.018722576,?m,0.005771,0.702756,179.427762
Pconcolor_FLMNH30960_1D_a.sur,7.931757,0.996016,0.149878,1,1.040777034,11.41760685,2.015032179,?m,0.006168,0.695766,174.346522
Pconcolor_FLMNH30960_1D_b.sur,8.166254,0.996751,0.149957,1,1.040023168,11.3515905,2.016094838,?m,0.005387,0.690746,173.639958
Pconcolor_FLMNH30960_1D_c.sur,9.489812,0.989506,36.802346,1,1.044908926,11.54697173,2.015882218,?m,0.003217,0.619269,171.820784
Pconcolor_FLMNH30960_1D_d.sur,6.99496,0.998355,0.150088,1,1.032679285,11.25910676,2.017848888,?m,0.003378,0.692244,176.512655
